#,Individual,Site,Location within site,Region,Latitude,Longitude,Archaeological culture,Archaeological subgroup,Regional period,Date,dategroup,Date BP,Dating lab ID,Morph. Sex,Morph. Age,Artefacts,Sample type,Raw reads,endoDNA %,5' C=>T %,MT cont.,Male X cont.,WG cov.,MT cov.,Y cov.,X cov.,Gen. sex,MT hg,Y hg,Autos. anal.,Analysis label
1,UKR008,Mamay-Gora,burial 26,Zaporizhzhia,47.432845,34.27259,Neolithic period,"steppe, Northern Black Sea region",Neolithic,7000-6000 BCE,neo,NA,NA,NA,NA,NA,Tooth,617924078,1.12977,38.92910765,0.08,NA,0.0872,20.7,0.0286,0.0465,XY,U4c2,R1b14-V88,+,UkrN_?
6,UKR055,Sukha Gomilsha,"mound, burial 3/1985-82",Kharkiv,49.547122,36.362542,Zrubna Culture,"forest-steppe, Siversky Donets basin",Bronze Age,1873-1566 cal BCE,PSEI,3404±35,UBA-48163,NA,NA,NA,Tooth,692640652,1.899014115,41.84,0.01,NA,0.0346,4.63,0.000685,0.0344,XX,H5a1,-,+,UkrBA_Zrubna
9,UKR170,Petrykiv,burial 35,Ternopil,49.534488,25.579807,Vysotska Culture (early period),NA,Final Bronze - Early Iron Age,1300-800 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,169370201,5,38.18,0.03,NA,0.0537,9.5,0.0161,0.0265,XY,U2e2a1,R1a1'4,+,UkrFBA/EIA_Vysotska_Early
10,UKR171,Petrykiv,burial 58,Ternopil,49.534488,25.579807,Vysotska Culture (early period),NA,Final Bronze - Early Iron Age,1278-1055 cal BCE,PSEI,2967±30,UBA-48172,NA,NA,NA,Tooth,76544310,14.46,36.27,0.03,NA,0.0573,109,0.0172,0.0288,XY,U5a1a2b,R1a1'5,+,UkrFBA/EIA_Vysotska_Early
11,UKR149,Dykyi Sad,"moat of the ""Citadel"" (р.13, lower layer), female adult",Mykolaiv,46.980366,31.983663,Bilozerska Culture,"left bank of Ingul, Pre Cimmerians",Final Bronze Age,1200-1000 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,127661702,84.96,20.24,0.02,NA,1.31,113,0.0139,1.3,XX,U4a1,-,+,UkrFBA_Bilozerska_Pre-Cimmerian
12,UKR150,Dykyi Sad,"outer suburbs. Square with houses and ritual pits. Pit №8 н/с, female juvenile",Mykolaiv,46.980366,31.983663,Bilozerska Culture,"left bank of Ingul, Pre Cimmerians",Final Bronze Age,1200-1000 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,296947747,4.13,24.94,0.03,NA,0.0963,115,0.0295,0.0491,XY,N1a1a1a1,R1a1'4,+,UkrFBA_Bilozerska_Pre-Cimmerian
13,UKR066,Kumy,"mound 6, burial 5",Kharkiv,49.324996,35.370183,Cimmerian Culture,"forest-steppe, Siversky Donets basin, nomads",Early Iron Age,1195-919 cal BCE,PSEI,2865±39,UBA-48150,NA,NA,NA,Tooth,213476589,47.29,47,0.02,0.0291015,0.451,22.6,0.137,0.233,XY,HV1a1a,Q1g-YP4000,+,UkrFBA/EIA_Cimmerian
14,UKR167,Rovantsi,burial 9,Volyn,50.725306,25.361439,Lusatian Culture,Ulvivok-Rovantsi,Final Bronze - Early Iron Age,1000-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,196720292,74.9,24.11,0.02,NA,1.95,240,0.0218,1.92,XX,J1c3g,-,+,UkrFBA/EIA_Lusatian
15,UKR168,Rovantsi,burial 44,Volyn,50.725306,25.361439,Lusatian Culture,Ulvivok-Rovantsi,Final Bronze - Early Iron Age,1000-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,214362658,51.11,29.48,0.02,NA,0.852,80.3,0.0116,0.797,XX,K1a4a1e,-,+,UkrFBA/EIA_Lusatian
16,UKR169,Rovantsi,burial 69,Volyn,50.725306,25.361439,Lusatian Culture,Ulvivok-Rovantsi,Final Bronze - Early Iron Age,1000-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,544382249,2.11,30.43,0.03,NA,0.0852,147,0.0254,0.0421,XY,H1an1,R1a1'5,+,UkrFBA/EIA_Lusatian
17,UKR000,Kartal,burial 132,Odesa,45.319997,28.411989,Thracian Hallstatt,"Lower Danube, possible Illyrian or/and Iranian components",Early Iron Age,900-798 cal BCE,PSEI,2676±30,UBA-48160,NA,NA,NA,Tooth,365689009,35.87,27.82,0.02,NA,1.17,167,0.0142,1.15,XX,U4a2a,-,+,UkrEIA_ThracianHallstatt_2
18,UKR001,Kartal,burial 11/124,Odesa,45.319997,28.411989,Thracian Hallstatt,"Lower Danube, possible Illyrian or/and Iranian components",Early Iron Age,900-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,428070465,37.24,35.98,0.02,NA,1.02,91.4,0.0156,1,XX,K1a,-,+,UkrEIA_ThracianHallstatt
19,UKR002,Kartal,burial 19,Odesa,45.319997,28.411989,Thracian Hallstatt,"Lower Danube, possible Illyrian or/and Iranian components",Early Iron Age,900-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,43573045,84.62,16.17,0.01,0.007769125,0.422,45.8,0.129,0.214,XY,U5b1a,C6-Z38888,+,UkrEIA_ThracianHallstatt
20,UKR005,Kartal,burial 103,Odesa,45.319997,28.411989,Thracian Hallstatt,"Lower Danube, possible Illyrian or/and Iranian components",Early Iron Age,900-700 BCE,PSEI,NA,NA,NA,NA,NA,Tooth,34203106,13.7,50.18,0.01,NA,0.0262,1.92,0.00802,0.0137,XY,T2,?,+,UkrEIA_ThracianHallstatt
